,PLAYER_NAME,TEAM_ABBREVIATION,PIE
202,Jason Kapono,PHI,0.011
415,Theo Ratliff,LAL,0.01
350,Quinton Ross,NJN,0.01
282,Luke Babbitt,POR,0.008
92,DaJuan Summers,DET,0.007
386,Sean Marks,POR,0.006
36,Avery Bradley,BOS,0.005
174,Hasheem Thabeet,HOU,0.004
288,Malik Allen,ORL,0.004
55,Brian Skinner,MIL,0.0
322,Morris Peterson,OKC,0.0
398,Solomon Alabi,TOR,-0.003
103,Darius Songaila,PHI,-0.011
347,Pops Mensah-Bonsu,NOH,-0.015
172,Hamady Ndiaye,WAS,-0.016
87,Craig Brackins,PHI,-0.018
338,Patrick Ewing,NOH,-0.018
200,Jarron Collins,POR,-0.022
153,Fabricio Oberto,POR,-0.026
127,Dexter Pittman,MIA,-0.026
230,John Lucas III,CHI,-0.053
43,Bobby Simmons,SAS,-0.058
30,Antoine Wright,SAC,-0.072
156,Gani Lawal,PHX,-0.4
175,Hassan Whiteside,SAC,-2.0
