,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
356,Jalen Wilson,Brooklyn Nets,41.0,7.1,0.4,0.486,7.8,0.528,0.1,-5.7,-0.5,0.254,63.0,2026
357,Branden Carlson,Oklahoma City Thunder,35.0,8.1,0.7,0.601,15.9,0.601,1.2,0.1,0.2,0.7692,65.0,2026
358,Ethan Thompson,Indiana Pacers,23.0,8.1,0.9,0.463,7.4,0.483,0.1,-4.2,-0.2,0.2344,64.0,2026
359,LJ Cryer,Golden State Warriors,5.0,6.2,0.0,0.667,10.4,0.667,0.1,-2.3,0.0,0.5079,63.0,2026
360,Jahmai Mashack,Memphis Grizzlies,19.0,7.5,1.6,0.468,7.2,0.471,-0.1,-5.9,-0.3,0.371,62.0,2026
361,Tyrese Proctor,Cleveland Cavaliers,42.0,7.1,0.4,0.497,10.3,0.53,0.4,-3.7,-0.2,0.6094,64.0,2026
362,Marcus Sasser,Detroit Pistons,22.0,7.7,0.9,0.541,14.3,0.572,0.6,1.0,0.2,0.7143,63.0,2026
363,Baylor Scheierman,Boston Celtics,59.0,9.2,0.7,0.605,11.4,0.619,2.6,0.2,0.6,0.6719,64.0,2026
364,Guerschon Yabusele,Chicago Bulls,54.0,8.7,0.5,0.509,10.7,0.529,1.0,-2.3,0.0,0.4062,64.0,2026
365,Justin Edwards,Philadelphia 76ers,46.0,7.2,0.9,0.516,9.7,0.542,0.8,-2.7,-0.1,0.5397,63.0,2026
366,Pete Nance,Milwaukee Bucks,31.0,7.3,0.5,0.711,14.4,0.711,0.8,-0.4,0.1,0.4286,63.0,2026
367,Tolu Smith,Detroit Pistons,7.0,10.3,1.0,0.476,16.3,0.571,0.3,0.2,0.0,0.7143,63.0,2026
368,Lonzo Ball,Cleveland Cavaliers,35.0,12.5,1.6,0.415,9.5,0.432,0.7,-1.1,0.2,0.6094,64.0,2026
369,Adem Bona,Philadelphia 76ers,54.0,9.2,1.6,0.617,12.6,0.646,2.1,-2.9,-0.2,0.5397,63.0,2026
370,Malaki Branham,Washington Wizards,28.0,7.0,0.5,0.549,14.2,0.604,0.4,-2.3,0.0,0.254,63.0,2026
371,Mouhamed Gueye,Atlanta Hawks,61.0,9.2,1.3,0.512,11.7,0.53,1.9,-2.1,0.0,0.5156,64.0,2026
372,Tyler Kolek,New York Knicks,53.0,9.2,0.5,0.507,11.6,0.515,1.0,-1.3,0.1,0.6308,65.0,2026
373,Noah Penda,Orlando Magic,44.0,9.5,0.9,0.497,12.9,0.526,1.1,-0.9,0.2,0.5556,63.0,2026
